Controller,timestamp,availability
POX,04/23/15 11:22:59,100
RYU,04/23/15 11:24:20,0
FLOODLIGHT,04/23/15 11:24:20,0
OPENDAYLICHT,04/23/15 11:24:20,0
POX,04/23/15 11:24:28,100
RYU,04/23/15 11:25:13,0
FLOODLIGHT,04/23/15 11:25:13,0
OPENDAYLICHT,04/23/15 11:25:13,0
POX,04/23/15 11:26:16,100
RYU,04/23/15 11:26:23,0
FLOODLIGHT,04/23/15 11:26:23,0
OPENDAYLICHT,04/23/15 11:26:23,0
POX,04/23/15 11:26:44,100
RYU,04/23/15 11:28:25,0
FLOODLIGHT,04/23/15 11:28:25,0
OPENDAYLICHT,04/23/15 11:28:25,0
POX,04/23/15 11:29:07,100
RYU,04/23/15 11:29:07,0
FLOODLIGHT,04/23/15 11:29:08,0
OPENDAYLICHT,04/23/15 11:29:08,0
POX,04/23/15 11:29:14,100
RYU,04/23/15 11:29:14,0
FLOODLIGHT,04/23/15 11:29:15,0
OPENDAYLICHT,04/23/15 11:29:15,0
POX,04/23/15 11:29:21,100
RYU,04/23/15 11:29:21,0
FLOODLIGHT,04/23/15 11:29:22,0
OPENDAYLICHT,04/23/15 11:29:22,0
POX,04/23/15 11:29:27,100
RYU,04/23/15 11:29:28,0
FLOODLIGHT,04/23/15 11:29:28,0
OPENDAYLICHT,04/23/15 11:29:28,0
POX,04/23/15 11:29:34,100
RYU,04/23/15 11:29:34,0
FLOODLIGHT,04/23/15 11:29:34,0
OPENDAYLICHT,04/23/15 11:29:34,0
POX,04/23/15 11:29:39,100
RYU,04/23/15 11:29:39,0
FLOODLIGHT,04/23/15 11:29:40,0
OPENDAYLICHT,04/23/15 11:29:40,0
POX,04/23/15 11:29:46,100
RYU,04/23/15 11:29:46,0
FLOODLIGHT,04/23/15 11:29:46,0
OPENDAYLICHT,04/23/15 11:29:46,0
POX,04/23/15 11:29:52,100
RYU,04/23/15 11:29:52,0
FLOODLIGHT,04/23/15 11:29:52,0
OPENDAYLICHT,04/23/15 11:29:52,0
POX,04/23/15 11:29:57,100
RYU,04/23/15 11:29:57,0
FLOODLIGHT,04/23/15 11:29:57,0
OPENDAYLICHT,04/23/15 11:29:57,0
POX,04/23/15 11:30:02,100
RYU,04/23/15 11:30:02,0
FLOODLIGHT,04/23/15 11:30:02,0
OPENDAYLICHT,04/23/15 11:30:02,0
POX,04/23/15 11:30:07,100
RYU,04/23/15 11:30:07,0
FLOODLIGHT,04/23/15 11:30:07,0
OPENDAYLICHT,04/23/15 11:30:07,0
POX,04/23/15 11:30:12,100
RYU,04/23/15 11:30:12,0
FLOODLIGHT,04/23/15 11:30:12,0
OPENDAYLICHT,04/23/15 11:30:12,0
POX,04/23/15 11:30:18,100
RYU,04/23/15 11:30:18,0
FLOODLIGHT,04/23/15 11:30:19,0
OPENDAYLICHT,04/23/15 11:30:19,0
POX,04/23/15 11:30:25,100
RYU,04/23/15 11:30:25,0
FLOODLIGHT,04/23/15 11:30:25,0
OPENDAYLICHT,04/23/15 11:30:25,0
POX,04/23/15 11:30:30,100
RYU,04/23/15 11:30:30,0
FLOODLIGHT,04/23/15 11:30:30,0
OPENDAYLICHT,04/23/15 11:30:30,0
POX,04/23/15 11:30:35,100
RYU,04/23/15 11:30:35,0
FLOODLIGHT,04/23/15 11:30:35,0
OPENDAYLICHT,04/23/15 11:30:35,0
POX,04/23/15 11:30:40,100
RYU,04/23/15 11:30:40,0
FLOODLIGHT,04/23/15 11:30:40,0
OPENDAYLICHT,04/23/15 11:30:40,0
POX,04/23/15 11:30:45,100
RYU,04/23/15 11:30:45,0
FLOODLIGHT,04/23/15 11:30:45,0
OPENDAYLICHT,04/23/15 11:30:45,0
POX,04/23/15 11:30:50,100
RYU,04/23/15 11:30:50,0
FLOODLIGHT,04/23/15 11:30:50,0
OPENDAYLICHT,04/23/15 11:30:51,0
POX,04/23/15 11:30:57,100
RYU,04/23/15 11:30:57,0
FLOODLIGHT,04/23/15 11:30:57,0
OPENDAYLICHT,04/23/15 11:30:57,0
POX,04/23/15 11:31:02,100
RYU,04/23/15 11:31:02,0
FLOODLIGHT,04/23/15 11:31:02,0
OPENDAYLICHT,04/23/15 11:31:02,0
POX,04/23/15 11:31:07,100
RYU,04/23/15 11:31:07,0
FLOODLIGHT,04/23/15 11:31:07,0
OPENDAYLICHT,04/23/15 11:31:07,0
POX,04/23/15 11:31:13,100
RYU,04/23/15 11:31:13,0
FLOODLIGHT,04/23/15 11:31:13,0
OPENDAYLICHT,04/23/15 11:31:13,0
POX,04/23/15 11:31:18,100
